sent,Word,Tag
sent: 3638,Gully,O
sent: 3638,cricket,O
sent: 3638,chal,O
sent: 3638,raha,O
sent: 3638,hain,O
sent: 3638,yaha,O
sent: 3638,"""",O
sent: 3638,(,O
sent: 3638,Soniya,B-PERSON
sent: 3638,),O
sent: 3638,Gandhi,B-PERSON
sent: 3638,"""",O
sent: 3639,I,O
sent: 3639,liked,O
sent: 3639,a,O
sent: 3639,@YouTube,O
sent: 3639,video,O
sent: 3639,https://t.co/DmVqhZbdaI,O
sent: 3639,Kabhi,O
sent: 3639,Palkon,O
sent: 3639,Pe,O
sent: 3639,Aasoon,O
sent: 3639,Hai-,O
sent: 3639,Kishore,B-PERSON
sent: 3639,Kumar,I-PERSON
sent: 3639,-Vocal,O
sent: 3639,Cover,O
sent: 3639,By,O
sent: 3639,Stephen,B-PERSON
sent: 3639,Qadir,I-PERSON
sent: 3640,Ab,O
sent: 3640,yeh,O
sent: 3640,kon,O
sent: 3640,Bol,O
sent: 3640,raha,O
sent: 3640,hai,O
sent: 3640,Aaj,O
sent: 3640,#MahaShivratri,O
sent: 3640,pe,O
sent: 3640,Aap,O
sent: 3640,wale,O
sent: 3640,Delhi,B-PLACE
sent: 3640,me,O
sent: 3640,WiFi,O
sent: 3640,ke,O
sent: 3640,sath,O
sent: 3640,30,O
sent: 3640,min,O
sent: 3640,Weed,O
sent: 3640,bhi,O
sent: 3640,free,O
sent: 3640,de,O
sent: 3640,rahe,O
sent: 3640,hai,O
sent: 3640,#,O
sent: 3641,RT,O
sent: 3641,@AfsanaMeet,O
sent: 3641,:,O
sent: 3641,@Gurmeetramrahim,O
sent: 3641,#MSGdedicatesAwardToGuruji,O
sent: 3641,Naanu,O
sent: 3641,papa,O
sent: 3641,yepieee,O
sent: 3641,.,O
sent: 3641,Congratulations,O
sent: 3641,and,O
sent: 3641,celebrations,O
sent: 3641,.,O
sent: 3641,https://t.co/Hn3vFWvdrW,O
sent: 3642,@kapilv20012001,O
sent: 3642,@vaidehisachin,O
sent: 3642,log,O
sent: 3642,baat,O
sent: 3642,samjhane,O
sent: 3642,ke,O
sent: 3642,liye,O
sent: 3642,ek,O
sent: 3642,sher,O
sent: 3642,padhte,O
sent: 3642,hai,O
sent: 3642,modiji,B-PERSON
sent: 3642,puri,O
sent: 3642,gazal,O
sent: 3642,padh,O
sent: 3642,gaye,O
sent: 3642,.,O
sent: 3643,Mahashivratri,O
sent: 3643,celebrations,O
sent: 3643,at,O
sent: 3643,my,O
sent: 3643,native,O
sent: 3643,place,O
sent: 3643,pomendi,B-PLACE
sent: 3643,along,O
sent: 3643,with,O
sent: 3643,Nandini,B-PERSON
sent: 3643,Vichare,I-PERSON
sent: 3643,",",O
sent: 3643,Latisha,B-PERSON
sent: 3643,Rajan,I-PERSON
sent: 3643,Vichare,I-PERSON
sent: 3643,",",O
sent: 3643,Mandar,B-PERSON
sent: 3643,Vichare,I-PERSON
sent: 3643,",",O
sent: 3643,Kalpesh,B-PERSON
sent: 3643,Salvi,I-PERSON
sent: 3644,@Gurmeetramrahim,O
sent: 3644,Dhan,B-PERSON
sent: 3644,Dhan,I-PERSON
sent: 3644,Satguru,I-PERSON
sent: 3644,Tera,O
sent: 3644,Hi,O
sent: 3644,Aasra,O
sent: 3644,#MSGlovesHumanity,O
sent: 3644,Salute,O
sent: 3644,2,O
sent: 3644,MSG,B-ORGANISATION
sent: 3644,https://t.co/D07r9bFW5r,O
sent: 3645,#RailBudget2015,O
sent: 3645,hope,O
sent: 3645,it,O
sent: 3645,is,O
sent: 3645,for,O
sent: 3645,d,O
sent: 3645,development,O
